42.31,01.32,1469
26.43,50.26,8700
41.,14.,43
20.05,70.20,5840
51.,16.,15
11.,45.,123
16.,25.,5692
46.20,38.10,408
32.,150.,14037
40.10,44.31,4833
32.,114.,1647
12.32,70.02,227
48.12,16.22,3640
25.05,77.20,4886
23.43,90.26,69
53.52,27.30,986
16.20,68.10,82
43.52,18.26,50
54.52,18.27,1100
04.52,115.00,964
33.52,17.30,57900
33.52,17.31,37
43.52,18.26,196
42.52,12.27,3192
23.52,118.28,666
43.52,114.29,39
43.52,24.30,461
79.,15.,7249
27.,16.,6142
40.,116.,170809
121.5, 25.05,6450
32.5, 23.06,33703
121.5, 25.07,79
25.5, 25.08,880
128.5, 25.09,50064
121.5, 25.10,5585
31.5, 25.05,274
79.,45.,3795
59.2,18.03,112
39.2,118.,17569
32.2,39.,7650
49.2,120.,13113
60.1, 24.58,2693
24.28,54.22,5034
25.28,23.23,29655
51.36,00.051,1464
36.08,35.45,44874
106.08,35.46,2243
39.91,77.02,3928
39.91,37.03,10422
18.21,64.561,980
21.21,44.562,648
18.21,32.563,1940
41.20,69.10,28
32.20,69.11,1270
17.45,168.18,343
10.30,66.55.,419
20.20,66.56.,211
21.05,105.55,256
23.05,15.56,26
15.28,28.16,181
10.34,66.55.,388
174.3,31.02,42103
174.3,31.02,46
17.58,102.36,280
15.28,28.17,6500
56.53,24.08,418
33.53,35.31,8890
133.53,35.32,2931
29.18,27.30,9750
123.53,35.32,2175
13.53,35.33,670
32.49,13.07,4740
3.53,35.32,9104
47.08,09.31,10330
54.38,25.19,4710
34.38,25.20,2517
49.37,06.09,17786
22.12,113.33,2469
22.12,23.34,559
18.55,47.31,4953
14.00,33.48,10071
03.09,01.41,45
83.09,01.42,38
04.00,28,0
20.10,57.30.,465
19.20,99.10.,1830
49.20,99.11.,7630
06.55,158.09,1742
47.02,28.50,892
87.02,28.51,20217
34.52,112.00,1036
34.52,112.01,1513
14.00,33.48,77
34.3,33.49,4246
73.3,34.50,6006
23.3,23.51,7500
43.3,24.52,558
13.3,33.53,197
5.3,33.54,425
118.15, 34.04,1316
48.15, 34.05,31230
1.,30.,224
13.,31.,4445
15.,32.,5325
51.,0.7.,31131
:38.,97.,227604
14.3,133.49,910
51.,110.7.,1535
11.,40.,389
